id;career_stage;fellowship_funder;fellowship_title;fellowship_url;fellowship_duration;application_deadline;eligible_host_location;eligible_institution;eligible_nationalities;eligible_fields;field_category_major;field_category_minor;requires_mobility;requires_phd;requires_publication;minimum_years_post_phd;maximum_years_post_phd;comments;contributor_name;contributor_url;date_created;date_updated
r9MNw;Postdoc;Marie Skłodowska-Curie Actions (MSCA);Postdoctoral Fellowship;https://marie-sklodowska-curie-actions.ec.europa.eu/calls/msca-postdoctoral-fellowships-2025;2;2025-09-10;Any European country;NA;Any country worldwide;NA;NA;NA;TRUE;FALSE;FALSE;NA;8;NA;Mikkel Roald-Arbøl;https://roald-arboel.com;2025-08-28;2025-08-28
yXJOV;Postdoc;Danish Data Science Academy;DDSA Postdoc Fellowship;https://ddsa.dk/postdocfellowshipcall2025/;2;2026-03-05;Denmark;NA;Any country worldwide;Data science;Engineering and technology, Natural sciences, Medical and health sciences;Natural sciences: Computer and information sciences;FALSE;FALSE;FALSE;NA;6;NA;Mikkel Roald-Arbøl;https://roald-arboel.com;2025-08-28;2025-08-28
B6R7x;Postdoc;Lundbeck Foundation;LF Postdoc;https://lundbeckfonden.com/apply-grants/lf-postdocs;3;2025-11-19;Denmark;NA;Any country worldwide;Neuroscience;Natural sciences, Medical and health sciences;Natural sciences: Biological sciences, Medical and health sciences: Health sciences, Medical and health sciences: Other medical sciences;FALSE;FALSE;FALSE;NA;5;NA;Mikkel Roald-Arbøl;https://roald-arboel.com;2025-08-28;2025-08-28
Z0pY2;Postdoc;Welcome Trust;Welcome Early-Career Awards;https://wellcome.org/research-funding/schemes/wellcome-early-career-awards#key-dates-d66b;5;2025-09-29;Ireland;NA;Any country worldwide;NA;NA;NA;FALSE;FALSE;FALSE;NA;3;NA;Patricia Rubisch;https://prubisch.github.io/;2025-08-29;2025-08-29
N0pjp;Postdoc;The Branco Weiss Fellowship – Society in Science;Branco Weiss Fellowship;https://brancoweissfellowship.org/who-should-apply/;5;2026-01-15;Any European country;NA;Any country worldwide;NA;NA;NA;FALSE;FALSE;FALSE;NA;5;The fellowship requires that the project departs from the mainstream of research in your discipline.;Mikkel Roald-Arbøl;https://roald-arboel.com;2025-08-29;2025-08-29
Q7vmL;PhD;Danish Data Science Academy (DDSA);DDSA PhD Fellowship;https://ddsa.dk/phdfellowshipcall2025/;3;2026-03-05;Denmark;NA;Any country worldwide;Data science;Natural sciences, Medical and health sciences;Natural sciences: Computer and information sciences, Natural sciences: Biological sciences, Natural sciences: Other natural sciences;FALSE;FALSE;FALSE;NA;NA;NA;Mikkel Roald-Arbøl;https://roald-arboel.com;2025-08-29;2025-08-29
